year,playoffs_date,west_winner,east_winner
2022,Apr 17,Golden State Warriors,Boston Celtics
2021,May 22,Phoenix Suns,Milwaukee Bucks
2020,Aug 18,Miami Heat,Los Angeles Lakers
2019,Apr 14,Toronto Raptors,Golden State Warriors
2018,Apr 14,Cleveland Cavaliers,Golden State Warriors
2017,Apr 16,Golden State Warriors,Cleveland Cavaliers
2016,Apr 17,Cleveland Cavaliers,Golden State Warriors
2015,Apr 19,Cleveland Cavaliers,Golden State Warriors
2014,Apr 19,Miami Heat,San Antonio Spurs
2013,Apr 21,Miami Heat,San Antonio Spurs
2012,Apr 28,Oklahoma City Thunder,Miami Heat
2011,Apr 16,Miami Heat,Dallas Mavericks
2010,Apr 17,Los Angeles Lakers,Boston Celtics
2009,Apr 18,Orlando Magic,Los Angeles Lakers
2008,Apr 20,Boston Celtics,Los Angeles Lakers
2007,Apr 21,Cleveland Cavaliers,San Antonio Spurs
2006,Apr 22,Miami Heat,Dallas Mavericks
2005,Apr 23,Detroit Pistons,San Antonio Spurs
2004,Apr 18,Detroit Pistons,Los Angeles Lakers
2003,Apr 19,New Jersey Nets,San Antonio Spurs
2002,Apr 21,New Jersey Nets,Los Angeles Lakers
2001,Apr 21,Philadelphia 76ers,Los Angeles Lakers
2000,Apr 23,Indiana Pacers,Los Angeles Lakers
1999,May 8,New York Knicks,San Antonio Spurs
1998,Apr 23,Chicago Bulls,Utah Jazz
1997,Apr 25,Chicago Bulls,Utah Jazz
1996,Apr 25,Chicago Bulls,Seattle SuperSonics
1995,Apr 28,Orlando Magic,Houston Rockets
1994,Apr 28,New York Knicks,Houston Rockets
1993,Apr 29,Chicago Bulls,Phoenix Suns
1992,Apr 23,Chicago Bulls,Portland Trail Blazers
1991,Apr 26,Chicago Bulls,Los Angeles Lakers
1990,Apr 27,Detroit Pistons,Portland Trail Blazers
1989,Apr 28,Detroit Pistons,Los Angeles Lakers
1988,Apr 29,Detroit Pistons,Los Angeles Lakers
1987,Apr 24,Boston Celtics,Los Angeles Lakers
1986,Apr 17,Boston Celtics,Houston Rockets
1985,Apr 18,Boston Celtics,Los Angeles Lakers
1984,Apr 17,Boston Celtics,Los Angeles Lakers
1983,Apr 19,Philadelphia 76ers,Los Angeles Lakers
1982,Apr 21,Philadelphia 76ers,Los Angeles Lakers
1981,Mar 31,Boston Celtics,Houston Rockets
1980,Apr 2,Philadelphia 76ers,Los Angeles Lakers
1979,Apr 11,Washington Bullets,Seattle SuperSonics
1978,Apr 12,Washington Bullets,Seattle SuperSonics
1977,Apr 12,Philadelphia 76ers,Portland Trail Blazers
1976,Apr 15,Denver Nuggets,New York Nets
1975,Apr 8,Kentucky Colonels,Indiana Pacers
1974,Mar 30,New York Nets,Utah Stars
1973,Apr 1,Kentucky Colonels,Indiana Pacers
1972,Mar 29,New York Nets,Indiana Pacers
1971,Mar 24,Kentucky Colonels,Utah Stars
1970,Mar 25,Indiana Pacers,Los Angeles Stars
1969,Mar 26,Indiana Pacers,Oakland Oaks
1968,Mar 24,Pittsburgh Pipers,New Orleans Buccaneers
1967,Mar 21,Philadelphia 76ers,San Francisco Warriors
1966,Mar 23,Boston Celtics,Los Angeles Lakers
1965,Mar 24,Boston Celtics,Los Angeles Lakers
1964,Mar 22,Boston Celtics,San Francisco Warriors
1963,Mar 19,Boston Celtics,Los Angeles Lakers
1962,Mar 16,Boston Celtics,Los Angeles Lakers
1961,Mar 14,Boston Celtics,St. Louis Hawks
1960,Mar 11,Boston Celtics,St. Louis Hawks
1959,Mar 13,Boston Celtics,Minneapolis Lakers
1958,Mar 15,Boston Celtics,St. Louis Hawks
1957,Mar 14,Boston Celtics,St. Louis Hawks
1956,Mar 15,Philadelphia Warriors,Fort Wayne Pistons
1955,Mar 15,Syracuse Nationals,Fort Wayne Pistons
1954,Mar 25,Syracuse Nationals,Minneapolis Lakers
1953,Mar 19,New York Knicks,Minneapolis Lakers
1952,Mar 19,New York Knicks,Minneapolis Lakers
1951,Mar 20,New York Knicks,Rochester Royals
1950,Mar 21,Anderson Packers,Minneapolis Lakers
1949,Mar 23,Washington Capitols,Minneapolis Lakers
1948,Mar 25,Baltimore Bullets,Philadelphia Warriors
1947,Apr 2,Chicago Stags,Philadelphia Warriors
